epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,693.713,1.33902,0.82243,0.98731,0.56424,0.49083,0.49509,0.28266,1.39571,0.88166,1.00704,0.000627048,0.000627048,0.000627048
24,724.517,1.34096,0.81703,0.98689,0.6014,0.44523,0.4876,0.27802,1.39957,0.89683,1.00424,0.000605051,0.000605051,0.000605051
25,754.391,1.32176,0.80215,0.97966,0.58642,0.47392,0.49877,0.28447,1.3893,0.87087,1.0032,0.000583053,0.000583053,0.000583053
26,783.781,1.31881,0.80363,0.98579,0.60356,0.46725,0.50297,0.2835,1.39301,0.88083,1.00127,0.000561055,0.000561055,0.000561055
27,813.708,1.33239,0.80652,0.98606,0.63331,0.44794,0.5001,0.28362,1.37145,0.87097,0.99718,0.000539057,0.000539057,0.000539057
28,843.32,1.30646,0.79055,0.97549,0.59095,0.4715,0.49714,0.28377,1.36953,0.86495,0.99381,0.000517059,0.000517059,0.000517059
29,872.954,1.31677,0.78572,0.97579,0.56917,0.47242,0.49498,0.28449,1.37249,0.86257,0.99538,0.000495062,0.000495062,0.000495062
30,902.221,1.30265,0.77902,0.97633,0.59542,0.47648,0.50902,0.29308,1.37086,0.86538,0.99312,0.000473064,0.000473064,0.000473064
31,931.669,1.29633,0.77026,0.96759,0.60313,0.4729,0.50244,0.28819,1.37714,0.85856,0.99083,0.000451066,0.000451066,0.000451066
32,961.105,1.27934,0.75791,0.96924,0.61206,0.48642,0.52153,0.29878,1.37098,0.85689,0.99074,0.000429068,0.000429068,0.000429068
33,990.533,1.28128,0.75549,0.96309,0.55771,0.51401,0.52289,0.30115,1.35885,0.84603,0.99048,0.00040707,0.00040707,0.00040707
34,1020.19,1.27465,0.73911,0.95771,0.59833,0.49741,0.51782,0.30028,1.36364,0.84184,0.99307,0.000385073,0.000385073,0.000385073
35,1049.51,1.26931,0.74255,0.96236,0.6291,0.49138,0.53403,0.30803,1.3582,0.83442,0.98879,0.000363075,0.000363075,0.000363075
36,1079.11,1.27,0.74219,0.95998,0.63812,0.48119,0.52563,0.30283,1.3515,0.83482,0.98554,0.000341077,0.000341077,0.000341077
37,1108.42,1.25464,0.72815,0.95769,0.64193,0.47588,0.52191,0.30083,1.3548,0.83909,0.98968,0.000319079,0.000319079,0.000319079
38,1137.88,1.25485,0.72397,0.95388,0.62742,0.47651,0.5236,0.29993,1.35567,0.83881,0.98664,0.000297081,0.000297081,0.000297081
39,1167.19,1.24769,0.71325,0.95013,0.61925,0.46632,0.51829,0.29886,1.3554,0.83405,0.98851,0.000275084,0.000275084,0.000275084
40,1199.62,1.23844,0.71158,0.95304,0.5871,0.5049,0.52314,0.30199,1.35907,0.83811,0.98424,0.000253086,0.000253086,0.000253086
41,1239.89,1.27285,0.71441,0.95835,0.60784,0.48853,0.52006,0.29686,1.36605,0.84521,0.99245,0.000231088,0.000231088,0.000231088
42,1268.33,1.25607,0.69567,0.95284,0.62375,0.47844,0.5262,0.30487,1.36004,0.82969,0.98657,0.00020909,0.00020909,0.00020909
43,1296.78,1.25067,0.69138,0.95014,0.61745,0.46699,0.51547,0.29833,1.35871,0.83188,0.98635,0.000187092,0.000187092,0.000187092
44,1325.4,1.24109,0.68309,0.94778,0.62001,0.48181,0.52517,0.30255,1.35064,0.82814,0.9885,0.000165095,0.000165095,0.000165095
45,1354,1.2443,0.68232,0.94614,0.63227,0.4775,0.52579,0.30373,1.35399,0.82501,0.98817,0.000143097,0.000143097,0.000143097
