epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.266,1.47233,1.11025,1.05704,0.46357,0.38252,0.36867,0.21039,1.49357,1.07215,1.04988,0.000367371,0.000367371,0.000367371
2,71.3035,1.52269,1.0629,1.07215,0.50039,0.37145,0.37468,0.19906,1.52235,1.07701,1.07194,0.000723097,0.000723097,0.000723097
3,99.9841,1.5355,1.08816,1.07722,0.50169,0.35549,0.36699,0.19071,1.58141,1.16935,1.08626,0.00106416,0.00106416,0.00106416
4,128.751,1.54399,1.07456,1.08166,0.4752,0.40164,0.37621,0.19899,1.53096,1.08688,1.06184,0.00104501,0.00104501,0.00104501
5,157.099,1.51447,1.0347,1.06526,0.54354,0.38115,0.40074,0.21811,1.49758,1.03069,1.05253,0.00102301,0.00102301,0.00102301
6,186.816,1.51009,1.01801,1.0618,0.51881,0.41305,0.41709,0.22773,1.51215,1.02509,1.04428,0.00100101,0.00100101,0.00100101
7,216.206,1.46922,0.99339,1.05188,0.47517,0.38268,0.39015,0.21016,1.48712,1.05401,1.04749,0.000979013,0.000979013,0.000979013
8,246.129,1.48987,0.99562,1.04916,0.51507,0.42928,0.43724,0.23921,1.482,1.01378,1.04831,0.000957015,0.000957015,0.000957015
9,280.011,1.45886,0.95623,1.04339,0.55922,0.40909,0.43568,0.23839,1.46888,0.9931,1.03203,0.000935018,0.000935018,0.000935018
10,310.135,1.45662,0.95593,1.03413,0.58594,0.42909,0.46375,0.26239,1.4452,0.94106,1.03026,0.00091302,0.00091302,0.00091302
11,340.095,1.43814,0.93185,1.0302,0.54919,0.43642,0.45881,0.25794,1.45166,0.9464,1.02065,0.000891022,0.000891022,0.000891022
12,369.687,1.42664,0.92212,1.02705,0.55831,0.41382,0.4472,0.24664,1.43865,0.95975,1.02278,0.000869024,0.000869024,0.000869024
13,399.111,1.41243,0.91531,1.02283,0.53739,0.4574,0.4622,0.25373,1.4399,0.94048,1.03087,0.000847026,0.000847026,0.000847026
14,428.341,1.39347,0.89545,1.01015,0.58761,0.42758,0.46363,0.26366,1.42032,0.93295,1.02178,0.000825029,0.000825029,0.000825029
15,457.788,1.399,0.89025,1.00698,0.59302,0.42428,0.46694,0.26034,1.42949,0.94353,1.02021,0.000803031,0.000803031,0.000803031
16,487.017,1.3956,0.87942,1.01111,0.62491,0.43798,0.49803,0.28132,1.41474,0.8995,1.01485,0.000781033,0.000781033,0.000781033
17,516.673,1.38776,0.87385,1.00402,0.57338,0.44115,0.48254,0.27041,1.42224,0.91019,1.01322,0.000759035,0.000759035,0.000759035
18,546.08,1.37244,0.85965,1.00439,0.57411,0.44008,0.47995,0.27511,1.40642,0.90994,1.00441,0.000737037,0.000737037,0.000737037
19,575.274,1.36765,0.85566,0.99766,0.56419,0.46839,0.48774,0.27742,1.39444,0.88937,1.00773,0.00071504,0.00071504,0.00071504
20,604.71,1.36551,0.84485,0.99581,0.60515,0.43954,0.49279,0.28036,1.41497,0.90534,1.01365,0.000693042,0.000693042,0.000693042
21,634.152,1.35847,0.84183,0.99836,0.57012,0.47172,0.50086,0.28657,1.40416,0.8887,1.00509,0.000671044,0.000671044,0.000671044
22,664.38,1.34513,0.82868,0.98718,0.57834,0.47087,0.49857,0.27772,1.39678,0.89813,1.00284,0.000649046,0.000649046,0.000649046
