epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.925,1.42974,1.00404,1.03637,0.55852,0.40806,0.43606,0.24661,1.44111,0.97961,1.03464,0.000369741,0.000369741,0.000369741
2,285.314,1.4698,0.99523,1.04835,0.50658,0.40074,0.40952,0.23307,1.42908,0.99068,1.02789,0.000725421,0.000725421,0.000725421
3,425.087,1.46407,0.98394,1.04288,0.53207,0.41592,0.42327,0.23341,1.42464,0.95998,1.02524,0.00106644,0.00106644,0.00106644
4,1288.61,1.44541,0.95916,1.03315,0.57276,0.44206,0.4746,0.27109,1.38466,0.90614,1.00619,0.00104501,0.00104501,0.00104501
5,1567.27,1.42091,0.9319,1.02411,0.60868,0.44456,0.49492,0.28387,1.36292,0.88693,0.99795,0.00102301,0.00102301,0.00102301
6,1928.08,1.40224,0.91061,1.01712,0.59948,0.46054,0.50091,0.28771,1.36587,0.86979,1.00108,0.00100101,0.00100101,0.00100101
7,2332.78,1.38828,0.89348,1.00994,0.61574,0.46973,0.52067,0.3046,1.34939,0.83953,0.99587,0.000979013,0.000979013,0.000979013
8,2709.66,1.3774,0.87763,1.00422,0.60399,0.47229,0.51656,0.30141,1.34402,0.84214,0.98654,0.000957015,0.000957015,0.000957015
9,3064.04,1.37151,0.86825,1.00221,0.63818,0.48139,0.53295,0.31209,1.32904,0.82473,0.98412,0.000935018,0.000935018,0.000935018
10,3440.27,1.35668,0.85446,0.99633,0.62772,0.49107,0.54058,0.31799,1.32376,0.81157,0.98139,0.00091302,0.00091302,0.00091302
11,3792.88,1.34714,0.84627,0.99492,0.65717,0.48991,0.55373,0.32772,1.31811,0.80268,0.98016,0.000891022,0.000891022,0.000891022
12,4179.28,1.34185,0.83575,0.98933,0.64681,0.49826,0.55169,0.32791,1.3098,0.79579,0.97373,0.000869024,0.000869024,0.000869024
13,4544.3,1.33086,0.82543,0.98709,0.64731,0.49862,0.55472,0.33341,1.29897,0.78472,0.97109,0.000847026,0.000847026,0.000847026
14,4890.26,1.3277,0.81993,0.98564,0.65265,0.4971,0.55539,0.33141,1.29686,0.78291,0.97061,0.000825029,0.000825029,0.000825029
15,5213.39,1.32074,0.8141,0.98259,0.64794,0.51105,0.56371,0.33563,1.29852,0.78094,0.96875,0.000803031,0.000803031,0.000803031
16,5542.59,1.31856,0.81124,0.97969,0.65563,0.51265,0.56894,0.34054,1.29077,0.77262,0.9695,0.000781033,0.000781033,0.000781033
17,5900.29,1.3114,0.80037,0.97834,0.67053,0.50986,0.57557,0.3431,1.29065,0.76005,0.9693,0.000759035,0.000759035,0.000759035
18,6276.92,1.31074,0.79948,0.97652,0.65607,0.52054,0.57417,0.34368,1.28937,0.7674,0.96559,0.000737037,0.000737037,0.000737037
19,6641.76,1.3037,0.79141,0.97227,0.64872,0.51872,0.57388,0.34298,1.28103,0.75708,0.96328,0.00071504,0.00071504,0.00071504
20,7018.25,1.30017,0.7867,0.97407,0.65844,0.51997,0.57869,0.34745,1.27841,0.75356,0.95674,0.000693042,0.000693042,0.000693042
21,7380.58,1.29306,0.77941,0.96877,0.67833,0.51821,0.58336,0.34944,1.2713,0.75073,0.95797,0.000671044,0.000671044,0.000671044
22,7721.97,1.29248,0.7767,0.969,0.68881,0.50571,0.57945,0.34734,1.27623,0.74899,0.95766,0.000649046,0.000649046,0.000649046
23,8073.46,1.28913,0.77085,0.96741,0.67772,0.51548,0.58622,0.35438,1.26741,0.74516,0.95531,0.000627048,0.000627048,0.000627048
24,8425.15,1.28958,0.77183,0.96711,0.68399,0.52335,0.58912,0.357,1.26261,0.73511,0.95247,0.000605051,0.000605051,0.000605051
25,8797.8,1.28535,0.76597,0.96698,0.67549,0.52588,0.59095,0.3577,1.26208,0.73973,0.95482,0.000583053,0.000583053,0.000583053
26,9146.24,1.27981,0.76038,0.96213,0.67281,0.52916,0.59529,0.35915,1.26058,0.72947,0.95249,0.000561055,0.000561055,0.000561055
27,9477.18,1.2718,0.75303,0.96078,0.67663,0.52668,0.59113,0.35895,1.25636,0.72864,0.95022,0.000539057,0.000539057,0.000539057
28,9799.47,1.27096,0.74995,0.96048,0.68219,0.53021,0.59734,0.36145,1.25883,0.73044,0.95407,0.000517059,0.000517059,0.000517059
29,10098.7,1.26416,0.74169,0.95813,0.6756,0.53628,0.59782,0.36354,1.25671,0.72784,0.95155,0.000495062,0.000495062,0.000495062
30,10319.2,1.26254,0.73965,0.9561,0.68986,0.53671,0.60457,0.36702,1.25102,0.71793,0.94575,0.000473064,0.000473064,0.000473064
31,10460,1.26109,0.73805,0.95404,0.68308,0.54337,0.60276,0.36653,1.25073,0.71788,0.94865,0.000451066,0.000451066,0.000451066
32,10601,1.25642,0.73313,0.95519,0.68701,0.54627,0.60668,0.36905,1.25022,0.71712,0.94728,0.000429068,0.000429068,0.000429068
33,10741.8,1.25255,0.7289,0.95334,0.68642,0.53823,0.604,0.36798,1.24885,0.71778,0.94643,0.00040707,0.00040707,0.00040707
34,10958.2,1.24789,0.72575,0.95134,0.68035,0.55177,0.60759,0.37085,1.24984,0.71437,0.94803,0.000385073,0.000385073,0.000385073
35,11339.1,1.24445,0.72026,0.94938,0.6893,0.54137,0.60599,0.36822,1.24841,0.71354,0.94654,0.000363075,0.000363075,0.000363075
36,11728.9,1.24641,0.71889,0.94938,0.6774,0.54911,0.60942,0.37282,1.24595,0.71114,0.94728,0.000341077,0.000341077,0.000341077
37,12114.2,1.23935,0.71269,0.94788,0.68751,0.54569,0.60858,0.3714,1.24908,0.71075,0.9459,0.000319079,0.000319079,0.000319079
38,12479.7,1.23463,0.70737,0.94558,0.68552,0.54957,0.61262,0.37405,1.24521,0.70597,0.94514,0.000297081,0.000297081,0.000297081
39,12871.4,1.23278,0.70253,0.94559,0.68827,0.55425,0.61374,0.37454,1.24524,0.70623,0.94602,0.000275084,0.000275084,0.000275084
40,13244.9,1.22354,0.69989,0.94378,0.68688,0.54749,0.61135,0.37421,1.24215,0.70498,0.94392,0.000253086,0.000253086,0.000253086
41,13628.8,1.25022,0.69179,0.9499,0.69517,0.53946,0.60831,0.37085,1.24939,0.70894,0.94556,0.000231088,0.000231088,0.000231088
42,13952,1.24552,0.68575,0.9464,0.69091,0.54359,0.60997,0.37149,1.24903,0.70884,0.94601,0.00020909,0.00020909,0.00020909
43,14300.8,1.24285,0.68105,0.9453,0.69358,0.54352,0.60643,0.37031,1.2466,0.70868,0.94454,0.000187092,0.000187092,0.000187092
44,14695.5,1.23758,0.67621,0.94402,0.69321,0.54051,0.60816,0.37052,1.24646,0.70852,0.94584,0.000165095,0.000165095,0.000165095
45,15065.2,1.23516,0.67378,0.94233,0.69511,0.54151,0.60693,0.37031,1.2474,0.70686,0.94569,0.000143097,0.000143097,0.000143097
46,15417.2,1.22784,0.66538,0.94001,0.68681,0.54871,0.60738,0.37074,1.24527,0.70459,0.94459,0.000121099,0.000121099,0.000121099
47,15768.7,1.22533,0.66274,0.93776,0.68701,0.54435,0.60699,0.37023,1.24734,0.707,0.94322,9.91012e-05,9.91012e-05,9.91012e-05
